text,category
"Classroom fan is broken and the lights are flickering in room 101","infrastructure"
"Water leakage in the lab corridor causing slippery floors","infrastructure"
"Electrical outlet not working in lecture hall","infrastructure"
"Toilet in building B is clogged and needs repair","infrastructure"
"Projector in classroom stops working frequently","infrastructure"
"Ceiling leak during rain in computer lab","infrastructure"
"Broken desks and chairs in classroom 204","infrastructure"
"No drinking water available near classrooms","infrastructure"
"Exam schedule was changed without notice and caused confusion","academics"
"Assignment deadlines are overlapping across multiple courses","academics"
"Professor missed lectures repeatedly this month","academics"
"Syllabus coverage is slow and unclear before exams","academics"
"Grades not updated on portal for two weeks","academics"
"Course registration clashes with lab timings","academics"
"Lecture recordings are not being uploaded","academics"
"Unfair marking in the recent midterm exam","academics"
"Admission office not responding to calls or emails","administration"
"Delay in issuing bonafide certificate from office","administration"
"Registration process on the portal keeps failing","administration"
"Long queues at the admin office for document submission","administration"
"Scholarship application status not updated","administration"
"ID card printing delayed for new students","administration"
"Confusion regarding internship approval documents","administration"
"Lost document verification taking too long","administration"
"Mess charges were deducted twice from my account","finance"
"Hostel fee refund is pending for two months","finance"
"Tuition fee payment portal shows error and debited amount","finance"
"Receipt not generated after successful payment","finance"
"Overcharged for library late fees incorrectly","finance"
"Billing discrepancy in exam fee payment","finance"
"Refund request acknowledged but no action yet","finance"
"Need clarification on scholarship disbursement amount","finance"
"Harassment reported in the hostel corridor late night","discipline"
"Bullying incident near the cafeteria needs action","discipline"
"Cheating observed during exam by a group of students","discipline"
"Frequent fights reported outside the main gate","discipline"
"Ragging complaint in first-year hostel block","discipline"
"Threat messages received on social media from peers","discipline"
"Discipline committee not responding to complaints","discipline"
"Unsafe behavior on campus during fest night","discipline"
"Hostel mess food quality is poor and often cold","hostel"
"Water supply irregular in the hostel bathrooms","hostel"
"Warden not available during emergency at night","hostel"
"Room allotment in hostel is delayed and confusing","hostel"
"Cleanliness in hostel corridors is not maintained","hostel"
"Laundry services in hostel are inconsistent","hostel"
"Hostel gate closing time is too early","hostel"
"Pests seen in hostel rooms; need pest control","hostel"
"Campus shuttle bus is irregular and often late","transport"
"Bus driver skipped designated stop in the evening","transport"
"Transport route changed without prior notice","transport"
"Shuttle overcrowded during peak hours","transport"
"Request for additional bus in morning route","transport"
"Driver behavior was rude and unsafe","transport"
"Bus tracking app not updating locations","transport"
"Need new shuttle route connecting south gate","transport"
"App crashes when I try to open notifications","other"
"Website loads slowly on the Wi-Fi network","other"
"General suggestion: add more seating near library","other"
"Suggestion to extend library hours during exams","other"
